event_id,name,url,image_url,date,time,status,segment,genre,subgenre,venue_name,venue_city,venue_address,venue_lat,venue_lon,price_min,price_max,currency,day_of_week,month_name,month_num,year,hour
Z698xZq2Z1kjFjJeK,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/708726093?language=en-us,https://s1.ticketm.net/dam/e/8af/5f0a9f26-3732-47ab-bc36-d652b6ceb8af_TABLET_LANDSCAPE_3_2.jpg,2026-04-24,18:30:00,onsale,Arts & Theatre,Theatre,Miscellaneous,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Friday,April,4,2026,18
Z698xZq2Z1kqFbY0t,Innellea (DJ Set),https://www.ticketmaster.se/event/innellea-dj-set--tickets/748630929?language=en-us,https://s1.ticketm.net/dam/e/683/3776bd48-f855-4a3d-8580-7332c0bcf683_RETINA_LANDSCAPE_16_9.jpg,2026-04-24,22:00:00,onsale,Music,Dance/Electronic,Dance/Electronic,Berns,Stockholm,Berzelii Park,59.33226,18.07509,,,,Friday,April,4,2026,22
Z698xZq2Z1kFNPIoO,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/223968460?language=en-us,https://s1.ticketm.net/dam/e/f0e/6b5807c3-3d8d-41ec-9b23-eff5c5bb0f0e_RETINA_PORTRAIT_3_2.jpg,2026-04-25,13:00:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,April,4,2026,13
Z698xZq2Z16vea_0e8,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/1089664090?language=en-us,https://s1.ticketm.net/dam/e/3b6/7dc5297e-7504-4232-b7b5-84385892b3b6_EVENT_DETAIL_PAGE_16_9.jpg,2026-04-25,19:30:00,onsale,Arts & Theatre,Theatre,Miscellaneous,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,April,4,2026,19
Z698xZq2Z1ke43fF6,"Tame Impala, Platinum Tickets",https://www.ticketmaster.se/event/tame-impala-platinum-tickets-tickets/95494207?language=en-us,https://s1.ticketm.net/dam/a/8b4/0c49343b-d625-479b-9540-ec541d0f58b4_SOURCE,2026-04-26,20:00:00,onsale,Music,Rock,Pop,,Stockholm,Globentorget 2,59.29416,18.08081,,,,Sunday,April,4,2026,20
Z698xZq2Z1kOy44_9,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/839555657?language=en-us,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg,2026-04-30,18:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Thursday,April,4,2026,18
Z698xZq2Z16vOzx_OY,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/1838899830?language=en-us,https://s1.ticketm.net/dam/e/e9d/2a400df1-e26a-4143-a128-4c8ffb1dfe9d_EVENT_DETAIL_PAGE_16_9.jpg,2026-05-01,18:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Friday,May,5,2026,18
Z698xZq2Z16vfzPoqK,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/1538951753?language=en-us,https://s1.ticketm.net/dam/e/421/8a7bafc7-e3e0-48de-b200-3e0f1b674421_EVENT_DETAIL_PAGE_16_9.jpg,2026-05-02,13:00:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,May,5,2026,13
Z698xZq2Z1kFbv8Zg,The Blitz,https://www.ticketmaster.se/event/the-blitz-tickets/218050035?language=en-us,https://s1.ticketm.net/dam/e/333/588270db-59cc-4916-b3b9-e6c7abb3a333_CUSTOM.jpg,2026-05-02,18:00:00,onsale,Sports,Martial Arts,Mixed Martial Arts,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,,,,Saturday,May,5,2026,18
Z698xZq2Z16vvN1_ea,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/1063299089?language=en-us,https://s1.ticketm.net/dam/e/bc9/ee69d70f-d432-4a34-b47b-991d8ef95bc9_SOURCE,2026-05-02,19:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,May,5,2026,19
Z698xZq2Z1k7oO_03,FAMILY SHOW - MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/family-show-mamma-mia-the-party-tickets/111819912?language=en-us,https://s1.ticketm.net/dam/e/d72/772b8772-3bbe-439a-9e85-fb4d2f8d9d72_ARTIST_PAGE_3_2.jpg,2026-05-03,16:00:00,onsale,Miscellaneous,Family,Other,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Sunday,May,5,2026,16
Z698xZq2Z16vF00347,Aries: GLASS JAW WORLD TOUR,https://www.ticketmaster.se/event/aries-glass-jaw-world-tour-tickets/1224912544?language=en-us,https://s1.ticketm.net/dam/e/9bc/e2742ad0-a745-4004-b598-83b3d59a79bc_TABLET_LANDSCAPE_16_9.jpg,2026-05-03,19:30:00,onsale,Music,Other,Other,,Stockholm,Hornstulls strand 4,59.31465,18.03185,,,,Sunday,May,5,2026,19
Z698xZq2Z1kxb0y1v,Ásgeir,https://www.ticketmaster.se/event/asgeir-tickets/898939281?language=en-us,https://s1.ticketm.net/dam/a/106/1d6da2f1-e1b8-405f-9d5b-9735ab83f106_EVENT_DETAIL_PAGE_16_9.jpg,2026-05-03,20:00:00,onsale,Music,Rock,Pop,,Stockholm,Styckmästergatan 10,59.29224,18.08012,,,,Sunday,May,5,2026,20
Z698xZq2Z1k7tfavE,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/129509067?language=en-us,https://s1.ticketm.net/dam/e/56a/29c10fef-e8c6-410d-989b-c2f77876556a_TABLET_LANDSCAPE_LARGE_16_9.jpg,2026-05-07,18:30:00,onsale,Arts & Theatre,Theatre,Miscellaneous,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Thursday,May,5,2026,18
Z698xZq2Z16vakZg-y,Björn Säfsten - Haunted desires,https://www.ticketmaster.se/event/bjorn-safsten-haunted-desires-tickets/1246035879?language=en-us,https://s1.ticketm.net/dam/a/917/22132fa2-32a8-48f0-9565-6801e75ab917_RETINA_PORTRAIT_3_2.jpg,2026-05-07,21:00:00,onsale,Arts & Theatre,Dance,Dance,Dansens Hus Studioscen,Stockholm,Barnhusgatan 12-14,59.33623,18.05644,,,,Thursday,May,5,2026,21
Z698xZq2Z1k7kb7uU,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/106604376?language=en-us,https://s1.ticketm.net/dam/e/932/cdc6d36c-820e-4258-9165-fb87cd762932_RETINA_PORTRAIT_16_9.jpg,2026-05-08,18:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Friday,May,5,2026,18
Z698xZq2Z16v_Erdvx,Björn Säfsten - Haunted desires,https://www.ticketmaster.se/event/bjorn-safsten-haunted-desires-tickets/1667783062?language=en-us,https://s1.ticketm.net/dam/a/917/22132fa2-32a8-48f0-9565-6801e75ab917_RETINA_PORTRAIT_3_2.jpg,2026-05-08,21:00:00,onsale,Arts & Theatre,Dance,Dance,Dansens Hus Studioscen,Stockholm,Barnhusgatan 12-14,59.33623,18.05644,,,,Friday,May,5,2026,21
