name,date,time,venue_name,genre,segment,url,image
George Dalaras - Rembetiko,2026-05-01,20:00:00,Filadelfia Convention Center,World,Music,https://www.ticketmaster.se/event/george-dalaras-rembetiko-biljetter/1211579346,https://s1.ticketm.net/dam/a/69b/3de099be-daba-400e-a2b1-a963777b469b_RECOMENDATION_16_9.jpg
Stadsvandring med Christopher O'Regan - Grändernas hemligheter,2026-05-02,11:00:00,Gamla stan,Fairs & Festivals,Miscellaneous,https://www.ticketmaster.se/event/stadsvandring-med-christopher-oregan-grandernas-hemligheter-biljetter/578424453,https://s1.ticketm.net/dam/a/506/784570b2-0a86-4a75-8af4-bed7018b7506_CUSTOM.jpg
MAMMA MIA! THE PARTY,2026-05-02,13:00:00,Tyrol,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1538951753,https://s1.ticketm.net/dam/e/421/8a7bafc7-e3e0-48de-b200-3e0f1b674421_EVENT_DETAIL_PAGE_16_9.jpg
& Julia,2026-05-02,15:00:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/246066373,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Oulouy - Black,2026-05-02,17:00:00,Dansens Hus Blackbox,Dance,Arts & Theatre,https://www.ticketmaster.se/event/oulouy-black-biljetter/642194771,https://s1.ticketm.net/dam/a/3ac/805b0aa6-92b5-4dbe-9f2e-b021d41753ac_TABLET_LANDSCAPE_3_2.jpg
Svartklubben - Mat & Musik i Mörker,2026-05-02,18:00:00,Svartklubben,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1939867670,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Paradox-Sal WOMAN och Gatuverket Rhythm of the Night! -en double bill,2026-05-02,18:00:00,Dansens Hus - Stora Scen,Dance,Arts & Theatre,https://www.ticketmaster.se/event/paradox-sal-woman-och-gatuverket-rhythm-of-the-night-en-double-bill-biljetter/1684756602,https://s1.ticketm.net/dam/a/89d/e7ed3a10-00f6-4f6f-88b6-67689ac8a89d_RETINA_PORTRAIT_3_2.jpg
MINNESLUCKOR med Jan Rippe och Per Fritzell,2026-05-02,18:00:00,Filadelfia Convention Center,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/minnesluckor-med-jan-rippe-och-per-fritzell-biljetter/18917349,https://s1.ticketm.net/dam/a/e2e/93e971d0-a85a-4bd9-9365-e7b284fa5e2e_TABLET_LANDSCAPE_3_2.jpg
The Blitz,2026-05-02,18:00:00,Göta Lejon,Martial Arts,Sports,https://www.ticketmaster.se/event/the-blitz-biljetter/218050035,https://s1.ticketm.net/dam/e/333/588270db-59cc-4916-b3b9-e6c7abb3a333_CUSTOM.jpg
& Julia,2026-05-02,19:30:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/2075911168,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
