event_id,name,date,time,status,segment,genre,venue_name,venue_lat,venue_lon,price_min,price_max,price_is_estimated,day_of_week,month_name,year,url,image_url
Z698xZq2Z1k0Ybsb3,MAMMA MIA! THE PARTY,2026-05-30,19:30:00,onsale,Arts & Theatre,Theatre,Tyrol,59.324127,18.096259,659,825,True,Saturday,May,2026,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/930631612,https://s1.ticketm.net/dam/e/7f8/577ac787-4aef-4a75-a61c-0840d7f9f7f8_TABLET_LANDSCAPE_LARGE_16_9.jpg
Z698xZq2Z16v-k8Ef-,MAFFIA COMEDY SUPERWEEKEND med Per-Robin Gustafsson m.fl,2026-05-30,20:00:00,onsale,Arts & Theatre,Comedy,Clarion Hotel Sign,59.99333,18.89062,674,973,True,Saturday,May,2026,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-per-robin-gustafsson-mfl-biljetter/1846427521,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg
Z698xZq2Z16vAkov76,Sivan Perwer – LIVE IN STOCKHOLM,2026-05-30,20:00:00,onsale,Music,Other,Nya Cirkus,59.32458,18.0997,361,574,True,Saturday,May,2026,https://www.ticketmaster.se/event/sivan-perwer--live-in-stockholm-biljetter/1146441107,https://s1.ticketm.net/dam/a/786/b07ae615-0f79-401e-8158-37393c8ac786_SOURCE
Z698xZq2Z1k14pbxk,Eric Sporrong,2026-05-30,20:00:00,cancelled,Arts & Theatre,Comedy,Göta Lejon,59.31378,18.07384,311,402,True,Saturday,May,2026,https://www.ticketmaster.se/event/eric-sporrong-biljetter/295598886,https://s1.ticketm.net/dam/e/0ea/f35ba7c6-4587-4479-8499-a3ba5cbd40ea_EVENT_DETAIL_PAGE_16_9.jpg
Z698xZq2Z16vf3PIp8,& Julia,2026-05-31,15:00:00,onsale,Arts & Theatre,Theatre,Cirkus,59.32457,18.09969,291,432,True,Sunday,May,2026,https://www.ticketmaster.se/event/-julia-biljetter/1512968590,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Z698xZq2Z1kFZ-d-k,EMPIRE OF THE SUN - Empyreans Super VIP M&G Experience,2026-06-01,00:00:00,onsale,Music,Alternative,Gröna Lund,59.3226,18.0977,814,1008,True,Monday,June,2026,https://www.ticketmaster.se/event/empire-of-the-sun-empyreans-super-vip-mg-experience-biljetter/200843846,https://s1.ticketm.net/dam/a/646/1b8fbcb9-46d0-45e4-ba5c-867795b8c646_CUSTOM.jpg
Z698xZq2Z16va8Fd_S,Svartklubben - Mat & Musik i Mörker,2026-06-03,18:00:00,onsale,Arts & Theatre,Theatre,Svartklubben,59.31209,18.08133,380,474,True,Wednesday,June,2026,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1250203673,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z16vbSQd4V,MAMMA MIA! THE PARTY,2026-06-04,18:30:00,onsale,Arts & Theatre,Theatre,Tyrol,59.324127,18.096259,711,800,True,Thursday,June,2026,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1633683574,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg
Z698xZq2Z1kjNOtxa,Svartklubben - Mat & Musik i Mörker,2026-06-05,18:00:00,onsale,Miscellaneous,Food & Drink,Svartklubben,59.31209,18.08133,150,271,True,Friday,June,2026,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/723829889,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z16vooq8P-,MAMMA MIA! THE PARTY,2026-06-05,18:30:00,onsale,Arts & Theatre,Theatre,Tyrol,59.324127,18.096259,630,897,True,Friday,June,2026,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1451750961,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg
Z698xZq2Z16vqIOM03,John Vincent III,2026-06-05,19:30:00,onsale,Music,Other,Debaser Strand,59.31465,18.03185,809,1076,True,Friday,June,2026,https://www.ticketmaster.se/event/john-vincent-iii-biljetter/1768837912,https://s1.ticketm.net/dam/a/944/6b80ff9a-a664-42d9-aef0-a4fe5fcf0944_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z16vP0fz3f,Svartklubben - Mat & Musik i Mörker,2026-06-06,18:00:00,onsale,Arts & Theatre,Theatre,Svartklubben,59.31209,18.08133,291,425,True,Saturday,June,2026,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1964538494,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z1ka9j7Aa,MAMMA MIA! THE PARTY,2026-06-06,19:30:00,onsale,Arts & Theatre,Theatre,Tyrol,59.324127,18.096259,542,649,True,Saturday,June,2026,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/257704149,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg
Z698xZq2Z16vFdj-AU,Elvis Costello & The Imposters with Charlie Sexton,2026-06-07,20:00:00,onsale,Music,Other,Cirkus,59.32457,18.09969,582,836,True,Sunday,June,2026,https://www.ticketmaster.se/event/elvis-costello--the-imposters-with-charlie-sexton-biljetter/1203721176,https://s1.ticketm.net/dam/a/a67/f8363dcf-2b82-46fd-b4b1-f13509124a67_ARTIST_PAGE_3_2.jpg
Z698xZq2Z1k80FpQv,Guitar Wolf & The Hard-Ons (featuring Jerry A),2026-06-08,20:00:00,onsale,Music,Other,Debaser Nova,59.31366,18.03503,673,779,True,Monday,June,2026,https://www.ticketmaster.se/event/guitar-wolf--the-hard-ons-featuring-jerry-a--biljetter/424216681,https://s1.ticketm.net/dam/e/43b/39d2ad40-d906-4f73-818d-393037e0743b_SOURCE
Z698xZq2Z16vu4Fe-N,Svartklubben - Mat & Musik i Mörker,2026-06-10,18:00:00,onsale,Miscellaneous,Food & Drink,Svartklubben,59.31209,18.08133,102,223,True,Wednesday,June,2026,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1355202863,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z16eZdFFZz,Tower of Power,2026-06-10,19:30:00,onsale,Music,R&B,Cirkus,59.32457,18.09969,571,726,True,Wednesday,June,2026,https://www.ticketmaster.se/event/tower-of-power-biljetter/2003208038,https://s1.ticketm.net/dam/e/4b7/8e0d4f51-bb86-40ab-9c62-3a91f39294b7_RECOMENDATION_16_9.jpg
Z698xZq2Z16v7EaE0I,MAMMA MIA! THE PARTY,2026-06-11,18:30:00,onsale,Arts & Theatre,Theatre,Tyrol,59.324127,18.096259,611,712,True,Thursday,June,2026,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1127267928,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg
Z698xZq2Z1k4gQF4x,Jo Koy: Just Being Koy Tour,2026-06-11,20:00:00,onsale,Arts & Theatre,Comedy,Cirkus,59.32457,18.09969,683,874,True,Thursday,June,2026,https://www.ticketmaster.se/event/jo-koy-just-being-koy-tour-biljetter/575688562,https://s1.ticketm.net/dam/a/fab/f98750ce-3d3d-4242-9cc6-1fe87f15bfab_RECOMENDATION_16_9.jpg
Z698xZq2Z16evaQoOo,Mediumkurs steg 3,2026-06-12,16:00:00,onsale,Arts & Theatre,Magic & Illusion,Butik Labyrint,59.34264,18.03544,631,865,True,Friday,June,2026,https://www.ticketmaster.se/event/mediumkurs-steg-3-biljetter/2049691811,https://s1.ticketm.net/dam/a/28a/11c9cf35-8fa4-40e0-a466-9eee698a528a_TABLET_LANDSCAPE_LARGE_16_9.jpg
Z-98xZq2Z8VV8micynMzQMnwmBwZQ5jrb2j,Foo Fighters: TAKE COVER TOUR 2026 | Strawberry Arena Premium Experience,2026-06-12,17:30:00,onsale,Music,Rock,Strawberry Arena,59.37254,18.00041,672,739,True,Friday,June,2026,https://www.ticketmaster.se/explore/foo-fighters-premium,https://s1.ticketm.net/dam/a/a86/e34186a0-096e-4145-9ff7-208608c1fa86_RETINA_PORTRAIT_3_2.jpg
Z698xZq2Z16vjV4-b3,Foo Fighters: TAKE COVER TOUR 2026,2026-06-12,17:30:00,onsale,Music,Rock,Strawberry Arena,59.37254,18.00041,762,972,True,Friday,June,2026,https://www.ticketmaster.se/event/foo-fighters-take-cover-tour-2026-biljetter/1734561612,https://s1.ticketm.net/dam/a/a86/e34186a0-096e-4145-9ff7-208608c1fa86_RETINA_PORTRAIT_3_2.jpg
ZJ98xZq2Z8VV8micynMz3VynsQJIYJinZQ5jrb2j,Foo Fighters: TAKE COVER TOUR 2026 | Hotel Packages,2026-06-12,17:30:00,onsale,Music,Rock,Strawberry Arena,59.37254,18.00041,589,871,True,Friday,June,2026,https://www.travelcircus.se/foo-fighters-stockholm?partner-referral=be397214e17a5cd5&utm_campaign=foo-fighters-stockholm&utm_source=foo_Fighters_Stockholm&utm_medium=travelcircus-affiliate,https://s1.ticketm.net/dam/a/bc0/8341ed56-92be-4c3a-a4d2-7f1e76f09bc0_ARTIST_PAGE_3_2.jpg
Z698xZq2Z1kxZCbxb,Svartklubben - Mat & Musik i Mörker,2026-06-12,18:00:00,onsale,Arts & Theatre,Theatre,Svartklubben,59.31209,18.08133,651,806,True,Friday,June,2026,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/880398898,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z1k_PFEa4,MAMMA MIA! THE PARTY,2026-06-12,18:30:00,onsale,Arts & Theatre,Theatre,Tyrol,59.324127,18.096259,676,896,True,Friday,June,2026,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/665227255,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg
Z698xZq2Z1kGVCAPI,Svartklubben - Mat & Musik i Mörker,2026-06-13,18:00:00,onsale,Miscellaneous,Food & Drink,Svartklubben,59.31209,18.08133,300,375,True,Saturday,June,2026,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/334385968,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z16evZGw49,MAMMA MIA! THE PARTY,2026-06-13,19:30:00,onsale,Arts & Theatre,Theatre,Tyrol,59.324127,18.096259,713,950,True,Saturday,June,2026,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/2040332557,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg
Z698xZq2Z16v8K79uN,What a view | 12-13 JUNI,2026-06-13,00:00:00,onsale,Music,Dance/Electronic,Münchenbryggeriet,59.32068,18.05617,611,665,True,Saturday,June,2026,https://www.ticketmaster.se/event/what-a-view-%7C-12-13-juni-biljetter/1413117363,https://s1.ticketm.net/dam/a/1c7/343bd77d-7c27-4e63-9021-e8f0cfe951c7_EVENT_DETAIL_PAGE_16_9.jpg
